html_url,id_number,importance,product,component,assignee,status,resolution,summary,changeddate,symptom category,author patch,input program,input property,refactoring type,root cause
https://bugs.eclipse.org/bugs/show_bug.cgi?id=99958,99958,P3,JDT,UI,markus.kell.r,VERI,FIXE,[refactoring] NPE in Infer Type Arguments,2005/6/17,exception,0,1,,Infer Type Arguments,
https://bugs.eclipse.org/bugs/show_bug.cgi?id=99681,99681,P3,JDT,UI,tobias_widmer,VERI,FIXE,[refactoring] Convert anonymous creates unnecessary fields for enum types,2005/6/17,unnecessary change,0,1,enum,convert anonymous to nested class,
https://bugs.eclipse.org/bugs/show_bug.cgi?id=99605,99605,P3,JDT,UI,tobias_widmer,VERI,FIXE,[refactoring][refactoring] Move member type to new file does not update type parameters,2005/6/17,compile error,0,1,,Move Member Type to New File,
https://bugs.eclipse.org/bugs/show_bug.cgi?id=99789,99789,P3,JDT,UI,tobias_widmer,VERI,FIXE,[refactoring] Move Member Type to New File destroys variable declarations,2005/6/17,compile error,0,1,,Move Member Type to New File,
https://bugs.eclipse.org/bugs/show_bug.cgi?id=85133,85133,P3,JDT,Debug,cocoakevin,VERI,FIXE,refactoring: NPE in BreakpointUtils.addJavaBreakpointAttributes,2005/6/16,exception,0,1,,rename class,
https://bugs.eclipse.org/bugs/show_bug.cgi?id=99974,99974,P3,JDT,UI,dirk_baeumer,RESO,FIXE,[refactoring] Inline method deletes all comments,2005/6/15,comment related,0,1,comment related,inline method,
https://bugs.eclipse.org/bugs/show_bug.cgi?id=97529,97529,P3,JDT,UI,tobias_widmer,VERI,FIXE,[refactoring] Move member type to new file creates doubled type params,2005/6/10,compile error,0,1,java generics,move member type to new file,
https://bugs.eclipse.org/bugs/show_bug.cgi?id=98474,98474,P3,JDT,UI,tobias_widmer,VERI,FIXE,[refactoring] convert anonymous to nested should use name conventions,2005/6/10,fail to refactoring,0,1,anonymous class,convert anonymous to nested class,
https://bugs.eclipse.org/bugs/show_bug.cgi?id=97431,97431,P3,JDT,UI,tobias_widmer,VERI,FIXE,[Refactor] Convert anonymous to nested on Generic - Compile Errors,2005/6/10,compile error,0,1,anonymous class,Convert Anonymous to nested class,
https://bugs.eclipse.org/bugs/show_bug.cgi?id=97306,97306,P3,JDT,UI,markus.kell.r,VERI,FIXE,[5.0] Unexspected error in Infer Type Arguments refactoring with varargs [refactoring],2005/6/10,exception,0,1,varargs,Infer Type Arguments,
https://bugs.eclipse.org/bugs/show_bug.cgi?id=98394,98394,P3,JDT,UI,markus.kell.r,VERI,FIXE,[refactoring] NPE while adding generic wildcard to method parameter,2005/6/10,exception,0,1,java generics,change method signature,
https://bugs.eclipse.org/bugs/show_bug.cgi?id=97397,97397,P3,JDT,UI,markus.kell.r,VERI,FIXE,[Refactor] Change Method Signature - Varargs not allowed,2005/6/10,fail to refactoring,0,1,varargs,change method signature,overly strict preconditions
https://bugs.eclipse.org/bugs/show_bug.cgi?id=97236,97236,P3,JDT,UI,tobias_widmer,VERI,FIXE,[refactoring] Use supertype where possible: does not work for generic type,2005/6/10,not available,0,1,java generics,Use supertype wherever possible,
https://bugs.eclipse.org/bugs/show_bug.cgi?id=97507,97507,P3,JDT,UI,jdt-ui-inbox,VERI,FIXE,[refactoring] Introduce factory fails for bounded type parameters,2005/6/10,compile error,0,1,bounded type,Introduce Factory,
